county,indicator,Unit,Date,Value
Rachuonyo East,"Population, Male",Persons,2019,57709
Rachuonyo East,"Population, Female",Persons,2019,64111
Rachuonyo East,"Population, Intersex",Persons,2019,2
Rachuonyo East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,90.01419413
Rachuonyo East,Land Area (Sq. Km),sq. km,2019,250.9
Rachuonyo East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,486
Rachuonyo East,Population (Excludes the special population),Persons,2019,121233
Rachuonyo East,Number of Households,Number,2019,27319
Rachuonyo East,Average Household size,,2019,4
Rachuonyo South,"Population, Total",Persons,2019,130814
Rachuonyo South,"Population, Male",Persons,2019,61663
Rachuonyo South,"Population, Female",Persons,2019,69151
Rachuonyo South,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,89.17152319
Rachuonyo South,Land Area (Sq. Km),sq. km,2019,256.1
Rachuonyo South,Population Density (No. per Sq. Km),No. per Sq. Km,2019,511
Rachuonyo South,Population (Excludes the special population),Persons,2019,130212
Rachuonyo South,Number of Households,Number,2019,30990
Rachuonyo South,Average Household size,,2019,4
Rangwe,"Population, Total",Persons,2019,117732
Rangwe,"Population, Male",Persons,2019,55404
Rangwe,"Population, Female",Persons,2019,62325
Rangwe,"Population, Intersex",Persons,2019,3
Rangwe,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,88.89530686
Rangwe,Land Area (Sq. Km),sq. km,2019,274.1
Rangwe,Population Density (No. per Sq. Km),No. per Sq. Km,2019,429
Rangwe,Population (Excludes the special population),Persons,2019,117128
Rangwe,Number of Households,Number,2019,27003
Rangwe,Average Household size,,2019,4
Suba North,"Population, Total",Persons,2019,124938
Suba North,"Population, Male",Persons,2019,60530
Suba North,"Population, Female",Persons,2019,64406
Suba North,"Population, Intersex",Persons,2019,2
Suba North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,93.98192715
Suba North,Land Area (Sq. Km),sq. km,2019,406.3
Suba North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,307
Suba North,Population (Excludes the special population),Persons,2019,123892
Suba North,Number of Households,Number,2019,29766
Suba North,Average Household size,,2019,4
Suba South,"Population, Total",Persons,2019,122383
Suba South,"Population, Male",Persons,2019,59383
Suba South,"Population, Female",Persons,2019,62998
Suba South,"Population, Intersex",Persons,2019,2
Suba South,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.26172259
Suba South,Land Area (Sq. Km),sq. km,2019,634.1
Suba South,Population Density (No. per Sq. Km),No. per Sq. Km,2019,193
Suba South,Population (Excludes the special population),Persons,2019,121739
Suba South,Number of Households,Number,2019,27769
Suba South,Average Household size,,2019,4
Migori,"Population, Total",Persons,2019,1116436
Migori,"Population, Male",Persons,2019,536187
Migori,"Population, Female",Persons,2019,580214
Migori,"Population, Intersex",Persons,2019,35
Migori,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,92.41193766
Migori,Land Area (Sq. Km),sq. km,2019,2613.5
Migori,Population Density (No. per Sq. Km),No. per Sq. Km,2019,427
Migori,Population (Excludes the special population),Persons,2019,1108950
Migori,Number of Households,Number,2019,240168
Migori,Average Household size,,2019,5
Awendo,"Population, Total",Persons,2019,117290
Awendo,"Population, Male",Persons,2019,56348
Awendo,"Population, Female",Persons,2019,60939
Awendo,"Population, Intersex",Persons,2019,3
Awendo,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,92.46623673
Awendo,Land Area (Sq. Km),sq. km,2019,255.3
Awendo,Population Density (No. per Sq. Km),No. per Sq. Km,2019,459
Awendo,Population (Excludes the special population),Persons,2019,116268
Awendo,Number of Households,Number,2019,27033
Awendo,Average Household size,,2019,4
Kuria East,"Population, Total",Persons,2019,96872
Kuria East,"Population, Male",Persons,2019,46969
Kuria East,"Population, Female",Persons,2019,49894
Kuria East,"Population, Intersex",Persons,2019,9
Kuria East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.13757165
Kuria East,Land Area (Sq. Km),sq. km,2019,187.6
Kuria East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,516
Kuria East,Population (Excludes the special population),Persons,2019,96455
Kuria East,Number of Households,Number,2019,17363
Kuria East,Average Household size,,2019,6
Kuria West,"Population, Total",Persons,2019,208513
Kuria West,"Population, Male",Persons,2019,101090
Kuria West,"Population, Female",Persons,2019,107417
Kuria West,"Population, Intersex",Persons,2019,6
Kuria West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.10987088
Kuria West,Land Area (Sq. Km),sq. km,2019,395.7
Kuria West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,527
Kuria West,Population (Excludes the special population),Persons,2019,207528
Kuria West,Number of Households,Number,2019,39781
Kuria West,Average Household size,,2019,5
Nyatike,"Population, Total",Persons,2019,176162
Nyatike,"Population, Male",Persons,2019,83989
Nyatike,"Population, Female",Persons,2019,92164
Nyatike,"Population, Intersex",Persons,2019,9
Nyatike,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,91.12994228
Nyatike,Land Area (Sq. Km),sq. km,2019,676.9
Nyatike,Population Density (No. per Sq. Km),No. per Sq. Km,2019,260
Nyatike,Population (Excludes the special population),Persons,2019,175180
Nyatike,Number of Households,Number,2019,40257
Nyatike,Average Household size,,2019,4
Rongo,"Population, Total",Persons,2019,124587
Rongo,"Population, Male",Persons,2019,59257
Rongo,"Population, Female",Persons,2019,65329
Rongo,"Population, Intersex",Persons,2019,1
Rongo,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,90.70550598
Rongo,Land Area (Sq. Km),sq. km,2019,213.4
Rongo,Population Density (No. per Sq. Km),No. per Sq. Km,2019,584
Rongo,Population (Excludes the special population),Persons,2019,123984
Rongo,Number of Households,Number,2019,29087
Rongo,Average Household size,,2019,4
Suna East,"Population, Total",Persons,2019,122674
Suna East,"Population, Male",Persons,2019,58977
Suna East,"Population, Female",Persons,2019,63694
Suna East,"Population, Intersex",Persons,2019,3
Suna East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,92.5942789
Suna East,Land Area (Sq. Km),sq. km,2019,205.1
Suna East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,598
Suna East,Population (Excludes the special population),Persons,2019,121365
Suna East,Number of Households,Number,2019,27302
Suna East,Average Household size,,2019,4
Suna West,"Population, Total",Persons,2019,128890
Suna West,"Population, Male",Persons,2019,61430
Suna West,"Population, Female",Persons,2019,67459
Suna West,"Population, Intersex",Persons,2019,1
Suna West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,91.06271958
Suna West,Land Area (Sq. Km),sq. km,2019,287.5
Suna West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,448
Suna West,Population (Excludes the special population),Persons,2019,127113
Suna West,Number of Households,Number,2019,29251
Suna West,Average Household size,,2019,4
Uriri,"Population, Total",Persons,2019,141448
Uriri,"Population, Male",Persons,2019,68127
Uriri,"Population, Female",Persons,2019,73318
Uriri,"Population, Intersex",Persons,2019,3
Uriri,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,92.91988325
Uriri,Land Area (Sq. Km),sq. km,2019,392.1
Uriri,Population Density (No. per Sq. Km),No. per Sq. Km,2019,361
Uriri,Population (Excludes the special population),Persons,2019,141057
Uriri,Number of Households,Number,2019,30094
Uriri,Average Household size,,2019,5
Kisii,"Population, Total",Persons,2019,1266860
Kisii,"Population, Male",Persons,2019,605784
Kisii,"Population, Female",Persons,2019,661038
Kisii,"Population, Intersex",Persons,2019,38
Kisii,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,91.64132773
Kisii,Land Area (Sq. Km),sq. km,2019,1323
Kisii,Population Density (No. per Sq. Km),No. per Sq. Km,2019,958
Kisii,Population (Excludes the special population),Persons,2019,1260509
Kisii,Number of Households,Number,2019,308054
Kisii,Average Household size,,2019,4
Etago,"Population, Total",Persons,2019,83787
Etago,"Population, Male",Persons,2019,40137
Etago,"Population, Female",Persons,2019,43647
Etago,"Population, Intersex",Persons,2019,3
Etago,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,91.95821019
Etago,Land Area (Sq. Km),sq. km,2019,108.4
Etago,Population Density (No. per Sq. Km),No. per Sq. Km,2019,773
Etago,Population (Excludes the special population),Persons,2019,83661
Etago,Number of Households,Number,2019,18610
Etago,Average Household size,,2019,4
Gucha,"Population, Total",Persons,2019,83740
Gucha,"Population, Male",Persons,2019,39631
Gucha,"Population, Female",Persons,2019,44108
Gucha,"Population, Intersex",Persons,2019,1
Gucha,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,89.84991385
Gucha,Land Area (Sq. Km),sq. km,2019,82.1
Gucha,Population Density (No. per Sq. Km),No. per Sq. Km,2019,1020
Gucha,Population (Excludes the special population),Persons,2019,83098
Gucha,Number of Households,Number,2019,19657
Gucha,Average Household size,,2019,4
Gucha South,"Population, Total",Persons,2019,83623
Gucha South,"Population, Male",Persons,2019,40022
Gucha South,"Population, Female",Persons,2019,43598
Gucha South,"Population, Intersex",Persons,2019,3
Gucha South,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,91.79778889
Gucha South,Land Area (Sq. Km),sq. km,2019,94.9
Gucha South,Population Density (No. per Sq. Km),No. per Sq. Km,2019,881
Gucha South,Population (Excludes the special population),Persons,2019,83209
Gucha South,Number of Households,Number,2019,19732
Gucha South,Average Household size,,2019,4
Kenyenya,"Population, Total",Persons,2019,131740
Kenyenya,"Population, Male",Persons,2019,62859
Kenyenya,"Population, Female",Persons,2019,68878
Kenyenya,"Population, Intersex",Persons,2019,3
Kenyenya,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,91.26136067
Kenyenya,Land Area (Sq. Km),sq. km,2019,141.7
Kenyenya,Population Density (No. per Sq. Km),No. per Sq. Km,2019,930
Kenyenya,Population (Excludes the special population),Persons,2019,131325
Kenyenya,Number of Households,Number,2019,30989
Kenyenya,Average Household size,,2019,4
Kisii Central,"Population, Total",Persons,2019,166906
Kisii Central,"Population, Male",Persons,2019,81330
Kisii Central,"Population, Female",Persons,2019,85573
Kisii Central,"Population, Intersex",Persons,2019,3
Kisii Central,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,95.04166034
Kisii Central,Land Area (Sq. Km),sq. km,2019,135.8
Kisii Central,Population Density (No. per Sq. Km),No. per Sq. Km,2019,1229
Kisii Central,Population (Excludes the special population),Persons,2019,163782
Kisii Central,Number of Households,Number,2019,44311
Kisii Central,Average Household size,,2019,4
Kisii South,"Population, Total",Persons,2019,135134
Kisii South,"Population, Male",Persons,2019,64514
Kisii South,"Population, Female",Persons,2019,70615
Kisii South,"Population, Intersex",Persons,2019,5
Kisii South,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,91.36019259
Kisii South,Land Area (Sq. Km),sq. km,2019,128.3
Kisii South,Population Density (No. per Sq. Km),No. per Sq. Km,2019,1054
Kisii South,Population (Excludes the special population),Persons,2019,134940
Kisii South,Number of Households,Number,2019,31696
Kisii South,Average Household size,,2019,4
Kitutu Central,"Population, Total",Persons,2019,154175
Kitutu Central,"Population, Male",Persons,2019,74608
Kitutu Central,"Population, Female",Persons,2019,79561
Kitutu Central,"Population, Intersex",Persons,2019,6
Kitutu Central,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,93.77458805
Kitutu Central,Land Area (Sq. Km),sq. km,2019,100.3
Kitutu Central,Population Density (No. per Sq. Km),No. per Sq. Km,2019,1537
Kitutu Central,Population (Excludes the special population),Persons,2019,153686
Kitutu Central,Number of Households,Number,2019,41271
Kitutu Central,Average Household size,,2019,4
Marani,"Population, Total",Persons,2019,107464
Marani,"Population, Male",Persons,2019,50598
Marani,"Population, Female",Persons,2019,56864
Marani,"Population, Intersex",Persons,2019,2
Marani,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,88.98072594
Marani,Land Area (Sq. Km),sq. km,2019,128.4
Marani,Population Density (No. per Sq. Km),No. per Sq. Km,2019,837
Marani,Population (Excludes the special population),Persons,2019,107230
Marani,Number of Households,Number,2019,26186
Marani,Average Household size,,2019,4
Masaba South,"Population, Total",Persons,2019,122396
Masaba South,"Population, Male",Persons,2019,58143
Masaba South,"Population, Female",Persons,2019,64248
Masaba South,"Population, Intersex",Persons,2019,5
Masaba South,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,90.49775869
Masaba South,Land Area (Sq. Km),sq. km,2019,161.2
Masaba South,Population Density (No. per Sq. Km),No. per Sq. Km,2019,759
Masaba South,Population (Excludes the special population),Persons,2019,122149
Masaba South,Number of Households,Number,2019,29232
Masaba South,Average Household size,,2019,4
Nyamache,"Population, Total",Persons,2019,130898
Nyamache,"Population, Male",Persons,2019,62113
Nyamache,"Population, Female",Persons,2019,68782
Nyamache,"Population, Intersex",Persons,2019,3
Nyamache,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,90.30414934
Nyamache,Land Area (Sq. Km),sq. km,2019,162.7
Nyamache,Population Density (No. per Sq. Km),No. per Sq. Km,2019,805
Nyamache,Population (Excludes the special population),Persons,2019,130666
Nyamache,Number of Households,Number,2019,30712
Nyamache,Average Household size,,2019,4
Sameta,"Population, Total",Persons,2019,66997
Sameta,"Population, Male",Persons,2019,31829
Sameta,"Population, Female",Persons,2019,35164
Sameta,"Population, Intersex",Persons,2019,4
Sameta,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,90.5158685
Sameta,Land Area (Sq. Km),sq. km,2019,79.1
Sameta,Population Density (No. per Sq. Km),No. per Sq. Km,2019,847
Sameta,Population (Excludes the special population),Persons,2019,66763
Sameta,Number of Households,Number,2019,15658
Sameta,Average Household size,,2019,4
Nyamira,"Population, Total",Persons,2019,605576
Nyamira,"Population, Male",Persons,2019,290907
Nyamira,"Population, Female",Persons,2019,314656
Nyamira,"Population, Intersex",Persons,2019,13
Nyamira,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,92.45239245
Nyamira,Land Area (Sq. Km),sq. km,2019,897.3
Nyamira,Population Density (No. per Sq. Km),No. per Sq. Km,2019,675
Nyamira,Population (Excludes the special population),Persons,2019,603051
Nyamira,Number of Households,Number,2019,150669
